rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,day_of_the week,,,
docked_bike,28-04-2020 13:47,28-04-2020 14:23,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,00:35:47,3,,,
docked_bike,20-04-2020 16:47,20-04-2020 17:27,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,00:40:45,2,,,
docked_bike,20-04-2020 16:46,20-04-2020 17:28,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,casual,00:41:06,2,,,
docked_bike,23-04-2020 14:43,23-04-2020 15:08,Milwaukee Ave & Cuyler Ave,589,Milwaukee Ave & Cuyler Ave,589,41.9545,-87.7496,41.9545,-87.7496,member,00:24:52,5,,,
docked_bike,07-04-2020 11:12,07-04-2020 11:25,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:13:18,3,,,
docked_bike,05-04-2020 13:21,05-04-2020 13:26,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:05:15,1,,,
docked_bike,11-04-2020 11:19,11-04-2020 11:26,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:06:53,7,,,
docked_bike,11-04-2020 19:22,11-04-2020 19:26,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:04:20,7,,,
docked_bike,09-04-2020 17:59,09-04-2020 18:04,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:04:12,5,,,
docked_bike,02-04-2020 17:55,02-04-2020 18:00,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:05:06,5,,,
docked_bike,14-04-2020 15:52,14-04-2020 15:57,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:05:36,3,,,
docked_bike,08-04-2020 15:55,08-04-2020 16:00,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:04:42,4,,,
docked_bike,09-04-2020 16:00,09-04-2020 16:07,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:06:29,5,,,
docked_bike,23-04-2020 15:48,23-04-2020 15:58,Knox Ave & Montrose Ave,592,Milwaukee Ave & Cuyler Ave,589,41.9606,-87.7454,41.9545,-87.7496,member,00:10:43,5,,,
docked_bike,19-04-2020 11:37,19-04-2020 12:44,Kilbourn Ave & Irving Park Rd,590,Milwaukee Ave & Cuyler Ave,589,41.9537,-87.7406,41.9545,-87.7496,casual,01:07:03,1,,,
docked_bike,19-04-2020 11:37,19-04-2020 12:44,Kilbourn Ave & Irving Park Rd,590,Milwaukee Ave & Cuyler Ave,589,41.9537,-87.7406,41.9545,-87.7496,casual,01:06:52,1,,,
docked_bike,11-04-2020 17:11,11-04-2020 17:17,Kilbourn Ave & Milwaukee Ave,591,Milwaukee Ave & Cuyler Ave,589,41.9488,-87.74,41.9545,-87.7496,member,00:05:31,7,,,
docked_bike,11-04-2020 17:12,11-04-2020 17:17,Kilbourn Ave & Milwaukee Ave,591,Milwaukee Ave & Cuyler Ave,589,41.9488,-87.74,41.9545,-87.7496,member,00:05:46,7,,,
docked_bike,28-04-2020 12:23,28-04-2020 12:39,Kosciuszko Park,499,Milwaukee Ave & Cuyler Ave,589,41.9306,-87.7238,41.9545,-87.7496,member,00:16:43,3,,,
docked_bike,16-04-2020 18:11,16-04-2020 18:24,Avers Ave & Belmont Ave,496,Milwaukee Ave & Cuyler Ave,589,41.9394,-87.7236,41.9545,-87.7496,member,00:12:28,5,,,
